resume_id,job_id,category,human_label,bi_encoder_score
24854026,3899529704,FINANCE,0,0.49496466
21866029,3906094499,HEALTHCARE,0,0.25985444
10553553,3904964632,INFORMATION-TECHNOLOGY,0,0.39138395
93988900,3891806393,HEALTHCARE,0,0.394601
47410104,3903470414,FINANCE,1,0.51658124
24854026,3889738607,FINANCE,0,0.29375422
24854026,3905292284,FINANCE,0,0.29704797
20237244,3904510172,INFORMATION-TECHNOLOGY,0,0.29055443
28198029,3904364456,SALES,1,0.26702064
30083943,3894547269,SALES,0,0.117492065
17108676,3901344926,ENGINEERING,0,0.27449578
20237244,3905849375,INFORMATION-TECHNOLOGY,1,0.55813384
47470864,3903474478,HR,1,0.2768489
22319662,3888972089,SALES,1,0.48431668
47470864,3904966341,HR,1,0.5613711
93988900,3906069836,HEALTHCARE,0,0.4872029
12858898,3889490370,FINANCE,0,0.29329282
24083609,3894211137,INFORMATION-TECHNOLOGY,0,0.28544784
23296286,3905205279,SALES,0,0.25588703
17812897,3903487983,HR,0,0.4688927
85417107,3905310314,HEALTHCARE,0,0.21747029
33685988,3904389114,FINANCE,0,0.25836828
24083609,3886442595,INFORMATION-TECHNOLOGY,0,0.2652921
17108676,3904717810,ENGINEERING,0,0.19937737
16877897,3902831400,HR,0,0.30604157
31677347,3901370967,ENGINEERING,0,0.35489643
12858898,3895800067,FINANCE,1,0.49943078
28198029,3901950033,SALES,1,0.45279747
30083943,3903484181,SALES,0,0.267287
28005884,3889717585,ENGINEERING,0,0.13589953
16899268,3895523533,INFORMATION-TECHNOLOGY,0,0.21020658
24083609,3905251438,INFORMATION-TECHNOLOGY,0,0.16492634
38314236,3895524038,ENGINEERING,0,0.24107705
22319662,3901365654,SALES,0,0.34083676
24083609,3903451024,INFORMATION-TECHNOLOGY,0,0.4141534
33685988,3901157652,FINANCE,1,0.46224365
24854026,3901367570,FINANCE,0,0.33409402
30083943,3905373424,SALES,1,0.33193102
33685988,3905855275,FINANCE,0,0.18454006
28005884,3906069728,ENGINEERING,0,0.4504978
26958533,3904001517,HEALTHCARE,0,0.25041902
85417107,3904949390,HEALTHCARE,0,0.41111174
22319662,3904930112,SALES,1,0.49002153
10553553,3902757105,INFORMATION-TECHNOLOGY,0,0.37867093
16877897,3901958375,HR,0,0.4533897
93988900,3902759052,HEALTHCARE,1,0.51365423
21866029,3902779934,HEALTHCARE,0,0.35961443
29149998,3884434066,HR,0,0.31884706
30083943,3898162060,SALES,0,0.21639334
10553553,3905833180,INFORMATION-TECHNOLOGY,0,0.36908442
